y_true,y_pred
168.0,169.11920450884378
170.0,174.09966504763776
170.0,170.6785300576511
170.0,171.00783088092152
168.0,170.4772429711341
170.0,170.4120221145291
170.0,170.0694178465075
170.0,170.4120221145291
175.0,174.70832263392228
173.0,171.4743191025025
175.0,175.41216175178354
173.0,173.98532118317573
173.0,171.14646771404398
170.0,170.4120221145291
174.0,169.10356822166762
160.0,165.48988191792745
175.0,175.41216175178354
164.0,167.47993144272138
162.0,163.2816031320047
175.0,175.41216175178354
164.0,175.0494748726847
175.0,174.39445150324588
162.0,163.2816031320047
168.0,171.40164231074817
175.0,172.74423986743648
183.0,174.03900309617788
173.0,173.98532118317573
170.0,170.4120221145291
170.0,170.4120221145291
173.0,171.14646771404398
164.0,169.06041214437727
168.0,171.40164231074817
168.0,171.40164231074817
170.0,171.79229657133976
162.0,163.2816031320047
168.0,171.40164231074817
168.0,169.11920450884378
160.0,165.62335029254356
164.0,167.47993144272138
173.0,171.14646771404398
183.0,174.03900309617788
183.0,172.25438555034
173.0,171.02031183172676
173.0,172.33883381385152
164.0,175.0494748726847
175.0,172.74423986743648
170.0,170.6785300576511
175.0,174.39445150324588
170.0,174.09966504763776
170.0,163.5497679146047
175.0,175.41216175178354
183.0,173.19703246996352
175.0,175.3849141014516
170.0,170.6785300576511
162.0,163.2816031320047
170.0,170.6785300576511
170.0,163.54977733923232
160.0,165.48988191792745
173.0,171.4743191025025
170.0,162.7791280502787
173.0,171.14646771404398
170.0,174.09966504763776
174.0,169.10356822166762
168.0,169.11920450884378
183.0,172.25438555034
168.0,169.11920450884378
173.0,172.33883381385152
170.0,171.2513422088546
170.0,171.79229657133976
164.0,167.47993144272138
173.0,172.33883381385152
173.0,172.4287523979055
183.0,174.03900309617788
170.0,171.79229657133976
173.0,171.4743191025025
170.0,162.7791280502787
173.0,173.98532118317573
160.0,165.48988191792745
162.0,165.3658900227494
173.0,172.33883381385152
