y_true,y_pred
168.0,170.1151065675533
173.0,171.70000393467492
164.0,168.59197479875
183.0,174.25310743419186
170.0,170.41541181058875
164.0,175.02710894415245
174.0,167.90132246215603
175.0,173.53658745342642
170.0,164.07774698168686
183.0,174.25310743419186
174.0,169.96057875870568
170.0,172.1542760268686
175.0,173.53658745342642
173.0,170.44210912103944
162.0,166.0256317512416
162.0,166.0256317512416
173.0,174.8723830813966
170.0,174.531668197236
164.0,175.02710894415245
170.0,171.1692756550743
183.0,174.25310743419186
164.0,168.59197479875
173.0,174.87243048369754
183.0,174.25310743419186
177.0,169.96165531378907
173.0,170.63681185103434
168.0,170.11480898528114
170.0,171.42415240726737
164.0,175.02710894415245
173.0,171.70000393467492
175.0,173.53658745342642
175.0,175.22251265795023
170.0,170.99788230860224
175.0,175.36414162231063
162.0,166.0256317512416
173.0,171.70000393467492
173.0,170.63681185103434
173.0,170.44210912103944
175.0,175.222509550607
175.0,173.53658745342642
168.0,173.828509330172
170.0,174.25310743419186
170.0,164.9021704655608
175.0,175.222509550607
183.0,174.25310743419186
174.0,169.96057875870568
170.0,172.15421656147805
173.0,170.22467588112158
177.0,169.96165531378907
162.0,166.0256317512416
174.0,169.96047632625312
175.0,175.59112664080538
173.0,170.44207581787492
170.0,172.15421656147805
160.0,166.57445575466716
162.0,166.0256317512416
170.0,174.531668197236
173.0,170.44207581787492
183.0,174.85453512652907
168.0,173.828509330172
170.0,170.9978788459424
173.0,171.70000393467492
175.0,175.36414162231063
173.0,170.44210912103944
175.0,175.22251265795023
170.0,164.90216710436127
164.0,168.59197479875
170.0,164.07774727772662
168.0,170.1151065675533
160.0,166.57440001698853
168.0,173.828509330172
168.0,172.7110217975789
183.0,174.81616536332785
173.0,170.63655791993
170.0,171.42416904809613
170.0,164.07774698168686
170.0,170.9978788459424
183.0,174.85431801949937
183.0,174.85431801949937
170.0,174.53230359471817
173.0,170.63655791993
170.0,172.15421656147805
175.0,173.53658745342642
177.0,169.9618276886758
170.0,171.42416904809613
174.0,169.96047632625312
168.0,170.11480898528114
173.0,174.87243048369754
183.0,175.2164637885901
170.0,170.99788230860224
173.0,171.74368422231487
177.0,169.9618276886758
173.0,170.63655791993
168.0,173.828509330172
173.0,170.63681185103434
173.0,170.44207581787492
162.0,166.0256317512416
177.0,169.96165531378907
175.0,175.36414162231063
173.0,170.44210912103944
164.0,168.5919816915657
175.0,175.36395572539266
170.0,172.1542760268686
160.0,166.57445575466716
183.0,174.85431801949937
170.0,164.07774698168686
173.0,171.69981222676938
170.0,170.9978788459424
177.0,169.9618276886758
173.0,176.6877123857102
173.0,174.8723830813966
170.5,161.67717184422227
175.0,175.39424133358511
173.0,174.8723830813966
173.0,171.70000393467492
183.0,174.85453512652907
175.0,175.1721924936612
173.0,170.63655791993
168.0,170.1151065675533
183.0,174.25310743419186
170.0,174.25310743419186
170.0,170.9978788459424
168.0,170.11480898528114
170.0,172.1542760268686
168.0,170.1151065675533
164.0,175.02730495276003
173.0,171.69981222676938
162.0,168.3958126427195
170.0,170.9978788459424
164.0,168.5919816915657
160.0,167.05326619365553
168.0,173.828509330172
164.0,175.02730495276003
183.0,174.25338076000943
160.0,166.57440001698853
173.0,174.8723830813966
170.0,171.42416904809613
173.0,174.87243048369754
177.0,169.9618276886758
183.0,174.25310743419186
164.0,168.5919816915657
183.0,174.25310743419186
168.0,170.11480898528114
175.0,175.36414162231063
175.0,175.22251265795023
170.0,170.9978788459424
160.0,166.57445575466716
170.0,172.21492006300497
175.0,175.222509550607
164.0,168.59197479875
183.0,174.25310743419186
173.0,170.63681185103434
170.0,174.531668197236
162.0,166.0256317512416
164.0,168.5919816915657
164.0,175.02730495276003
170.0,170.99788230860224
160.0,166.57440001698853
173.0,170.63681185103434
170.0,172.1542760268686
170.0,174.53230359471817
173.0,170.44207581787492
